GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.controller,UserController,238,0,28,0,49,0,16,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.model,CsvProcessor,0,116,0,4,0,17,0,4,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.model,LineParser,0,43,0,2,0,8,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.model,MailGenerator,0,156,0,4,0,26,0,4,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.model,CmdProcessor,7,33,0,4,3,8,0,4,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.model,TemplateProcessor,0,423,1,15,0,60,1,11,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.exceptions,NullArgumentException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.exceptions,EmptyArgumentException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.util,FileCombineUtil,0,87,0,12,0,18,0,9,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.util,BufferredReaderUtil,15,91,4,6,0,14,4,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment5.util,PlaceholderFinderUtil,0,139,0,10,0,25,0,7,0,2
