GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.exceptions,InvalidDenominatorException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Division,0,42,0,2,0,9,0,4,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Context,4,0,0,0,1,0,1,0,1,0
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Subtraction,0,31,0,0,0,5,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Val,0,3,0,0,0,1,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Define,27,0,0,0,8,0,4,0,4,0
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Addition,0,31,0,0,0,5,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Main,107,0,0,0,14,0,2,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Multiply,0,31,0,0,0,5,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,UnaryMinus,0,47,0,0,0,9,0,4,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,BinOp,0,148,2,26,0,34,2,17,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Exponent,0,34,0,0,0,5,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Tracer,0,67,1,1,0,7,1,2,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,ExpressionVisitorImpl,0,177,0,2,0,37,0,9,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Var,2,87,2,12,1,24,2,13,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Num,0,90,1,13,0,26,1,14,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,CtxHashMap,12,14,0,0,3,4,2,2,2,2
Assignment for class CS5010,edu.neu.ccs.cs5010.simplecalculator.model,Op,0,44,0,2,0,13,0,6,0,5
