Timestamp/s  Throughput  Mean Latency/ms
1540071748   102         5728      
1540071750   4           1103      
1540071751   13          3270      
1540071752   26          2317      
1540071753   45          1375      
1540071754   50          2112      
1540071755   40          1665      
1540071756   57          1429      
1540071757   52          1776      
1540071758   73          1717      
1540071759   62          999       
1540071760   81          1892      
1540071761   82          1639      
1540071762   70          1764      
1540071763   78          916       
1540071764   84          837       
1540071765   82          1336      
1540071766   85          1143      
1540071767   69          1469      
1540071768   89          561       
1540071769   108         1247      
1540071770   100         804       
1540071771   131         907       
1540071772   118         1083      
1540071773   85          1316      
1540071774   134         706       
1540071775   131         774       
1540071776   133         687       
1540071777   118         788       
1540071778   136         528       
1540071779   140         867       
1540071780   155         712       
1540071781   128         660       
1540071782   122         963       
1540071783   166         680       
1540071784   138         949       
1540071785   123         352       
1540071786   102         922       
1540071787   152         708       
1540071788   147         721       
1540071789   96          822       
1540071790   156         854       
1540071791   117         1118      
1540071792   138         827       
1540071793   140         913       
1540071794   163         613       
1540071795   142         441       
1540071796   162         451       
1540071797   126         625       
1540071798   170         842       
1540071799   147         709       
1540071800   151         748       
1540071801   154         678       
1540071802   178         599       
1540071803   171         317       
1540071804   188         423       
1540071805   123         1356      
1540071806   162         345       
1540071807   169         908       
1540071808   174         836       
1540071809   176         406       
1540071810   176         503       
1540071811   179         342       
1540071812   153         681       
1540071813   129         548       
1540071814   183         643       
1540071815   124         986       
1540071816   137         406       
1540071817   180         740       
1540071818   162         716       
1540071819   179         469       
1540071820   198         424       
1540071821   166         719       
1540071822   66          3466      
1540071823   72          4856      
1540071824   45          784       
1540071825   52          1943      
1540071826   56          1762      
1540071827   68          781       
1540071828   62          1473      
1540071829   70          1660      
1540071830   88          1596      
1540071831   84          2222      
1540071832   83          1149      
1540071833   91          1584      
1540071834   90          1551      
1540071835   67          1004      
1540071836   69          532       
1540071837   72          374       
1540071838   77          435       
1540071839   79          1011      
1540071840   93          580       
1540071841   104         723       
1540071842   107         442       
1540071843   125         530       
1540071844   136         496       
1540071845   153         544       
1540071846   156         839       
1540071847   172         813       
1540071848   177         791       
1540071849   188         570       
1540071850   176         350       
1540071851   171         449       
1540071852   148         373       
1540071853   201         478       
1540071854   209         1047      
1540071855   210         1046      
1540071856   232         609       
1540071857   232         685       
1540071858   223         690       
1540071859   210         453       
1540071860   207         587       
1540071861   180         589       
1540071862   180         191       
1540071863   176         443       
1540071864   163         246       
1540071865   177         367       
