Timestamp/s  Throughput  Mean Latency/ms
1541348499   14          1226      
1541348500   56          106       
1541348501   46          286       
1541348502   33          346       
1541348503   28          170       
1541348504   46          275       
1541348505   27          567       
1541348506   11          330       
1541348507   35          454       
1541348508   21          259       
1541348509   22          360       
1541348510   57          151       
1541348511   32          287       
1541348512   37          333       
1541348513   34          254       
1541348514   39          358       
1541348515   29          185       
1541348516   37          223       
1541348517   39          208       
1541348518   56          186       
1541348519   47          229       
1541348520   61          226       
1541348521   43          200       
1541348522   46          174       
1541348523   52          220       
1541348524   54          162       
1541348525   52          197       
1541348526   55          204       
1541348527   53          92        
1541348528   53          250       
1541348529   52          143       
1541348530   59          172       
1541348531   58          180       
1541348532   57          171       
1541348533   50          355       
1541348534   54          192       
1541348535   54          113       
1541348536   66          154       
1541348537   39          212       
1541348538   50          216       
1541348539   50          183       
1541348540   41          196       
1541348541   61          739       
1541348542   6           9422      
1541348550   9           1421      
1541348551   10          1813      
1541348552   8           642       
1541348554   20          491       
1541348555   18          467       
1541348556   34          377       
1541348557   14          951       
1541348558   18          320       
1541348559   23          199       
1541348560   37          371       
1541348561   53          211       
1541348562   32          576       
1541348563   15          243       
1541348564   10          1017      
1541348565   36          84        
1541348566   46          189       
1541348567   48          170       
1541348568   65          129       
1541348569   56          193       
1541348570   54          145       
1541348571   58          129       
1541348572   87          380       
1541348573   23          719       
1541348574   44          928       
1541348575   20          1015      
1541348576   7           1798      
1541348578   11          119       
1541348579   27          430       
1541348580   34          625       
1541348581   12          1629      
1541348582   8           2700      
1541348583   5           1671      
1541348584   17          2030      
1541348585   16          672       
1541348586   15          1090      
1541348587   10          1032      
1541348588   9           567       
1541348589   20          467       
1541348590   18          758       
1541348591   18          963       
1541348592   17          1177      
1541348593   33          179       
1541348594   41          257       
1541348595   42          497       
1541348596   26          397       
1541348597   43          171       
1541348598   38          576       
1541348599   22          668       
1541348600   36          269       
1541348601   47          272       
1541348602   41          329       
1541348603   48          329       
1541348604   42          193       
1541348605   40          224       
1541348606   63          363       
1541348607   36          365       
1541348608   43          271       
1541348609   46          186       
1541348610   41          332       
1541348611   33          346       
1541348612   33          231       
1541348613   36          265       
1541348614   47          181       
1541348615   72          157       
1541348616   41          234       
1541348617   59          245       
1541348618   40          162       
1541348619   59          190       
1541348620   43          301       
1541348621   44          173       
1541348622   60          206       
1541348623   59          184       
1541348624   32          204       
1541348625   81          106       
1541348626   78          133       
1541348627   83          128       
1541348628   60          232       
1541348629   55          117       
1541348630   81          106       
1541348631   86          122       
1541348632   65          169       
1541348633   66          133       
1541348634   78          118       
1541348635   61          263       
1541348636   72          124       
1541348637   80          117       
1541348638   69          148       
1541348639   57          167       
1541348640   58          182       
1541348641   58          102       
1541348642   83          88        
1541348643   69          101       
1541348644   54          112       
1541348645   58          473       
1541348646   36          616       
1541348647   50          338       
1541348648   57          289       
1541348649   48          248       
1541348650   50          383       
1541348651   32          224       
1541348652   34          192       
1541348653   57          168       
1541348654   30          251       
1541348655   23          309       
1541348656   48          205       
1541348657   41          281       
1541348658   54          353       
1541348659   50          85        
1541348660   59          116       
1541348661   81          98        
1541348662   72          152       
1541348663   86          146       
1541348664   78          123       
1541348665   76          142       
1541348666   70          132       
1541348667   60          1652      
1541348668   32          91        
1541348669   37          83        
1541348670   39          77        
1541348671   40          74        
1541348672   40          74        
1541348673   40          77        
1541348674   36          80        
1541348675   37          80        
1541348676   43          72        
1541348677   48          71        
1541348678   52          80        
1541348679   60          72        
1541348680   66          80        
1541348681   66          87        
1541348682   84          186       
1541348683   62          141       
1541348684   64          219       
1541348685   38          173       
1541348686   25          296       
1541348687   27          80        
1541348688   43          117       
1541348689   52          98        
1541348690   73          86        
1541348691   76          123       
1541348692   54          96        
1541348693   62          108       
1541348694   115         239       
1541348695   103         127       
1541348696   81          284       
1541348697   83          118       
1541348698   98          200       
1541348699   92          220       
1541348700   106         375       
1541348701   89          130       
1541348702   87          90        
1541348703   86          379       
1541348704   65          241       
1541348705   64          94        
1541348706   53          110       
1541348707   47          127       
1541348708   58          213       
1541348709   98          139       
1541348710   95          123       
1541348711   123         100       
1541348712   135         95        
1541348713   128         103       
1541348714   142         86        
1541348715   135         85        
1541348716   138         80        
1541348717   145         76        
1541348718   129         78        
1541348719   128         76        
1541348720   130         76        
1541348721   129         76        
1541348722   130         77        
1541348723   126         78        
1541348724   133         74        
1541348725   112         81        
1541348726   96          78        
1541348727   60          78        
1541348728   43          99        
1541348729   37          85        
1541348730   26          77        
1541348731   25          77        
1541348732   10          90        
1541348735   105         76        
1541348736   117         84        
1541348737   123         81        
1541348738   126         78        
1541348739   138         73        
1541348740   128         76        
1541348741   121         85        
1541348742   130         75        
1541348743   142         71        
1541348744   135         72        
1541348745   141         73        
1541348746   133         74        
1541348747   133         74        
1541348748   141         70        
1541348749   135         73        
1541348750   142         70        
1541348751   134         75        
1541348752   134         74        
1541348753   138         72        
1541348754   128         77        
1541348755   125         80        
1541348756   130         78        
1541348757   106         90        
1541348758   15          73        
------------------------------
Test length: 259
Mean latency: 188
The 99th percentile latency: 14532
Total Throughput: 57
