Timestamp/s  Throughput  Mean Latency/ms
1541348573   53          637       
1541348574   42          1110      
1541348575   30          760       
1541348576   12          1652      
1541348577   16          452       
1541348578   31          299       
1541348579   21          600       
1541348580   16          441       
1541348581   19          1072      
1541348582   17          1085      
1541348583   21          1292      
1541348584   21          340       
1541348585   31          294       
1541348586   28          858       
1541348587   31          562       
1541348588   29          525       
1541348589   26          389       
1541348590   26          686       
1541348591   33          524       
1541348592   40          455       
1541348593   31          614       
1541348594   15          455       
1541348595   21          404       
1541348596   52          507       
1541348597   55          212       
1541348598   40          633       
1541348599   28          992       
1541348600   33          139       
1541348601   43          308       
1541348602   47          465       
1541348603   39          280       
1541348604   39          257       
1541348605   64          233       
1541348606   65          272       
1541348607   41          527       
1541348608   49          416       
1541348609   54          216       
1541348610   52          485       
1541348611   46          339       
1541348612   46          209       
1541348613   63          313       
1541348614   56          346       
1541348615   52          242       
1541348616   57          214       
1541348617   65          293       
1541348618   60          191       
1541348619   74          180       
1541348620   84          233       
1541348621   70          188       
1541348622   72          200       
1541348623   90          265       
1541348624   76          186       
1541348625   79          173       
1541348626   98          150       
1541348627   88          174       
1541348628   69          261       
1541348629   88          136       
1541348630   98          157       
1541348631   98          150       
1541348632   105         155       
1541348633   90          190       
1541348634   98          194       
1541348635   62          185       
1541348636   102         159       
1541348637   102         150       
1541348638   111         181       
1541348639   87          149       
1541348640   99          225       
1541348641   85          126       
1541348642   91          158       
1541348643   108         144       
1541348644   107         149       
1541348645   192         401       
1541348646   135         593       
1541348647   138         324       
1541348648   127         352       
1541348649   139         292       
1541348650   131         454       
1541348651   147         184       
1541348652   169         147       
1541348653   177         244       
1541348654   187         209       
1541348655   183         196       
1541348656   173         205       
1541348657   196         218       
1541348658   176         243       
1541348659   179         197       
1541348660   173         177       
1541348661   175         148       
1541348662   187         197       
1541348663   184         182       
1541348664   187         174       
1541348665   194         164       
1541348666   192         158       
1541348667   137         2120      
1541348668   88          618       
1541348669   76          300       
1541348670   64          727       
1541348671   50          121       
1541348672   49          121       
1541348673   40          141       
1541348674   52          121       
1541348675   45          135       
1541348676   48          122       
1541348677   49          118       
1541348678   47          129       
1541348679   87          132       
1541348680   112         119       
1541348681   135         137       
1541348682   166         152       
1541348683   151         301       
1541348684   153         254       
1541348685   148         222       
1541348686   147         198       
1541348687   158         167       
1541348688   194         158       
1541348689   185         160       
1541348690   209         135       
1541348691   220         144       
1541348692   212         149       
1541348693   220         150       
1541348694   234         179       
1541348695   223         176       
1541348696   176         351       
1541348697   167         190       
1541348698   174         167       
1541348699   231         158       
1541348700   209         201       
1541348701   195         256       
1541348702   193         149       
1541348703   187         263       
1541348704   187         235       
1541348705   183         149       
1541348706   184         161       
1541348707   162         165       
1541348708   171         172       
1541348709   159         164       
1541348710   190         160       
1541348711   219         146       
1541348712   226         132       
1541348713   220         136       
1541348714   203         128       
1541348715   191         121       
1541348716   152         126       
1541348717   134         126       
1541348718   121         119       
1541348719   103         132       
1541348720   109         120       
1541348721   106         121       
1541348722   103         121       
1541348723   98          116       
1541348724   102         117       
1541348725   89          124       
1541348726   81          124       
1541348727   85          117       
1541348728   75          132       
1541348729   74          135       
1541348730   84          119       
1541348731   80          123       
1541348732   81          124       
1541348733   83          122       
1541348734   83          117       
1541348735   91          119       
1541348736   62          137       
1541348737   59          127       
------------------------------
Duration of the peak phase in seconds: 165
Mean Throughput: 105
Highest interval throughput: 234
5th Percentile throughput: 21
Mean Latency: 289
99th Percentile latency: 29
