Timestamp/s  Throughput  Mean Latency/ms
1541348499   3           1087      
1541348500   11          233       
1541348501   12          363       
1541348502   11          132       
1541348503   16          145       
1541348504   16          380       
1541348505   3           114       
1541348506   17          245       
1541348507   13          162       
1541348508   10          261       
1541348509   9           502       
1541348510   5           319       
1541348511   14          227       
1541348512   18          132       
1541348513   20          385       
1541348514   8           158       
1541348515   13          131       
1541348516   14          149       
1541348517   17          154       
1541348518   12          834       
1541348519   15          123       
1541348520   11          176       
1541348521   13          170       
1541348522   14          129       
1541348523   8           319       
1541348524   9           276       
1541348525   8           137       
1541348526   18          145       
1541348527   21          136       
1541348528   23          145       
1541348529   18          153       
1541348530   19          171       
1541348531   16          186       
1541348532   13          208       
1541348533   16          192       
1541348534   17          187       
1541348535   21          141       
1541348536   20          139       
1541348537   17          196       
1541348538   12          228       
1541348539   21          164       
1541348540   17          154       
1541348541   21          603       
1541348542   2           10016     
1541348551   2           290       
1541348552   10          629       
1541348553   1           2600      
1541348554   1           305       
1541348555   5           1081      
1541348556   7           245       
1541348557   10          437       
1541348558   9           168       
1541348559   11          271       
1541348560   9           155       
1541348561   15          267       
1541348562   11          407       
1541348563   15          132       
1541348564   15          310       
1541348565   10          320       
1541348566   7           131       
1541348567   9           386       
1541348568   6           408       
1541348569   11          837       
1541348570   7           299       
1541348571   11          183       
1541348572   27          289       
1541348573   53          637       
1541348574   42          1110      
1541348575   30          760       
1541348576   12          1652      
1541348577   16          452       
1541348578   31          299       
1541348579   21          600       
1541348580   16          441       
1541348581   19          1072      
1541348582   17          1085      
1541348583   21          1292      
1541348584   21          340       
1541348585   31          294       
1541348586   28          858       
1541348587   31          562       
1541348588   29          525       
1541348589   26          389       
1541348590   26          686       
1541348591   33          524       
1541348592   40          455       
1541348593   31          614       
1541348594   15          455       
1541348595   21          404       
1541348596   52          507       
1541348597   55          212       
1541348598   40          633       
1541348599   28          992       
1541348600   33          139       
1541348601   43          308       
1541348602   47          465       
1541348603   39          280       
1541348604   39          257       
1541348605   64          233       
1541348606   65          272       
1541348607   41          527       
1541348608   49          416       
1541348609   54          216       
1541348610   52          485       
1541348611   46          339       
1541348612   46          209       
1541348613   63          313       
1541348614   56          346       
1541348615   52          242       
1541348616   57          214       
1541348617   65          293       
1541348618   60          191       
1541348619   74          180       
1541348620   84          233       
1541348621   70          188       
1541348622   72          200       
1541348623   90          265       
1541348624   76          186       
1541348625   79          173       
1541348626   98          150       
1541348627   88          174       
1541348628   69          261       
1541348629   88          136       
1541348630   98          157       
1541348631   98          150       
1541348632   105         155       
1541348633   90          190       
1541348634   98          194       
1541348635   62          185       
1541348636   102         159       
1541348637   102         150       
1541348638   111         181       
1541348639   87          149       
1541348640   99          225       
1541348641   85          126       
1541348642   91          158       
1541348643   108         144       
1541348644   107         149       
1541348645   192         401       
1541348646   135         593       
1541348647   138         324       
1541348648   127         352       
1541348649   139         292       
1541348650   131         454       
1541348651   147         184       
1541348652   169         147       
1541348653   177         244       
1541348654   187         209       
1541348655   183         196       
1541348656   173         205       
1541348657   196         218       
1541348658   176         243       
1541348659   179         197       
1541348660   173         177       
1541348661   175         148       
1541348662   187         197       
1541348663   184         182       
1541348664   187         174       
1541348665   194         164       
1541348666   192         158       
1541348667   137         2120      
1541348668   88          618       
1541348669   76          300       
1541348670   64          727       
1541348671   50          121       
1541348672   49          121       
1541348673   40          141       
1541348674   52          121       
1541348675   45          135       
1541348676   48          122       
1541348677   49          118       
1541348678   47          129       
1541348679   87          132       
1541348680   112         119       
1541348681   135         137       
1541348682   166         152       
1541348683   151         301       
1541348684   153         254       
1541348685   148         222       
1541348686   147         198       
1541348687   158         167       
1541348688   194         158       
1541348689   185         160       
1541348690   209         135       
1541348691   220         144       
1541348692   212         149       
1541348693   220         150       
1541348694   234         179       
1541348695   223         176       
1541348696   176         351       
1541348697   167         190       
1541348698   174         167       
1541348699   231         158       
1541348700   209         201       
1541348701   195         256       
1541348702   193         149       
1541348703   187         263       
1541348704   187         235       
1541348705   183         149       
1541348706   184         161       
1541348707   162         165       
1541348708   171         172       
1541348709   159         164       
1541348710   190         160       
1541348711   219         146       
1541348712   226         132       
1541348713   220         136       
1541348714   203         128       
1541348715   191         121       
1541348716   152         126       
1541348717   134         126       
1541348718   121         119       
1541348719   103         132       
1541348720   109         120       
1541348721   106         121       
1541348722   103         121       
1541348723   98          116       
1541348724   102         117       
1541348725   89          124       
1541348726   81          124       
1541348727   85          117       
1541348728   75          132       
1541348729   74          135       
1541348730   84          119       
1541348731   80          123       
1541348732   81          124       
1541348733   83          122       
1541348734   83          117       
1541348735   91          119       
1541348736   62          137       
1541348737   59          127       
1541348738   53          128       
1541348739   56          126       
1541348740   49          119       
1541348741   40          133       
1541348742   32          120       
1541348743   32          124       
1541348744   36          114       
1541348745   26          123       
1541348746   24          121       
1541348747   26          117       
1541348748   26          115       
1541348749   25          118       
1541348750   28          110       
1541348751   24          122       
1541348752   25          121       
1541348753   26          116       
1541348754   25          116       
1541348755   26          122       
1541348756   23          124       
1541348757   24          127       
1541348758   23          125       
1541348759   23          130       
1541348760   19          156       
1541348761   25          122       
1541348762   24          122       
1541348763   25          121       
1541348764   24          129       
1541348765   23          126       
1541348766   22          136       
1541348767   24          121       
1541348768   23          142       
1541348769   23          123       
1541348770   22          131       
1541348771   25          119       
1541348772   16          166       
1541348773   3           139       
------------------------------
Test length: 274
Mean latency: 226
The 99th percentile latency: 14870
Total Throughput: 70
