GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel,DmvRecords,147,8,24,0,33,3,19,1,7,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel,DriverPool.new Comparator() {...},14,0,0,0,2,0,2,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel,DriverPool,105,47,13,3,22,14,11,4,4,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel,Registration,55,60,8,4,18,16,11,6,7,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.violationrecords,ViolationTypes.new Object() {...},9,59,0,0,0,1,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.violationrecords,ViolationTypes,0,165,1,9,0,31,1,13,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.violationrecords,Record,0,299,7,41,0,61,7,28,0,11
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.insurance,Insurance,0,253,4,20,0,45,4,16,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.vehicle,CrashTypes,0,75,1,3,0,13,1,7,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.vehicle,Vehicle,0,320,6,40,0,65,6,30,0,13
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.vehicle,CrashTypes.new Object() {...},3,23,0,0,0,1,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.validators,VehicleValidator,0,37,0,2,0,9,0,4,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.validators,InsuranceValidator,2,52,3,5,0,10,3,5,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.validators,TimeCalculator,0,47,0,0,0,11,0,4,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.validators,HistoryValidator,115,18,28,0,23,6,17,1,3,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.validators,DriverPoolValidator,76,127,18,16,13,30,13,10,2,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.validators,DriverValidator,5,150,9,13,0,29,9,10,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,RiderShareView,112,0,12,0,20,0,8,0,2,0
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4,RideShareController,90,0,0,0,29,0,13,0,13,0
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.exceptions,InvalidVehicleYearException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.exceptions,InvalidConstructorArgumentException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.driver,Driver,0,180,2,18,0,40,2,18,0,10
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.driver,Country,0,38,0,0,0,3,0,4,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.driver,Name,0,131,1,23,0,35,1,19,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment4.ridesharemodel.driver,License,0,301,5,25,0,60,5,21,0,11
